Name,Type,Location,Frequency,Address,Latitude,Longitude,Phone,Website,Email,Notes
Port Royal Farmers Market,Market,Port Royal,weekly,"Naval Heritage Park, 1615 Ribaut Road",32.3833,-80.6956,843-470-0699,https://portroyalfarmersmarket.com,kitbruce1111@gmail.com,Year-round Saturday farmers market serving Port Royal and Beaufort
City of Beaufort Calendar,Civic,Beaufort,ongoing,,,,,https://www.cityofbeaufort.org,,city meetings and events
Town of Port Royal Calendar,Civic,Port Royal,ongoing,,,,,https://www.portroyal.org/calendar,,local events and announcements
Beaufort County Library,Education,Beaufort County,weekly,,,,,https://www.beaufortcountylibrary.org,,story hours and classes
Spanish Moss Trail,Activity,Beaufort/Port Royal,ongoing,,,,,https://spanishmosstrail.com,,community walks and cycling
Pat Conroy Literary Center,Culture,Beaufort,monthly,,,,,https://patconroyliterarycenter.org,,readings and literary events
USCB Events Calendar,Education,Beaufort,weekly,,,,,https://www.uscb.edu,,university lectures and events
Beaufort County Parks & Recreation,Activity,Beaufort County,weekly,,,,,https://bcgov.net/parks-and-recreation,,youth and adult recreation programs
Downtown Beaufort Farmers’ Market,Market,Beaufort,weekly,North & Bladen Streets,32.4308643,-80.6735035,843-525-7070,https://www.cityofbeaufort.org,,City-run downtown farmers market with produce and food trucks
Farmers’ Market of Bluffton,Market,Bluffton,weekly,"Carson Cottages, 40 Calhoun St.",32.240246,-80.859421,843-415-2447,https://farmersmarketbluffton.org,,Thursday afternoon market with local farms and artisans
U Pick Daffodils,U-Pick,Okatie,seasonal,48 Calhoun Plantation Road,32.3,-80.9,843-368-1998,https://www.upickdaffodils.com,,U-pick daffodil farm open in late winter/early spring
Helena Hills Farm,U-Pick,Hardeeville,seasonal,577 Bellinger Hill Run Road,32.2843,-81.076998,646-656-1506,https://www.helenahillsfarm.com,,U-pick flower farm with events and workshops
"Marshview Farm, LLC",Activity,St. Helena Island,seasonal,1257 Seaside Road,32.412557,-80.476554,843-838-4829,,Marshview1012@embarqmail.com,Sustainable farm with fruit and vegetable production; offers farm tours
Barefoot Farms,U-Pick,St. Helena Island,seasonal,939 Sea Island Pkwy,32.412557,-80.476554,843-838-7421,,,U-pick strawberries and seasonal produce
Dempsey Farms U-Pick,U-Pick,St. Helena Island,seasonal,1576 Sea Island Pkwy,32.412557,-80.476554,843-838-3656,,,Family-owned U-pick farm with seasonal vegetables and berries
Port Royal Sound Foundation Maritime Center,Family Nature Center,"Okatie, SC",ongoing,"310 Okatie Highway, Okatie, SC 29909",,,843-645-7774,https://portroyalsoundfoundation.org/visit-the-maritime-center/,,Free maritime and estuary center with live animals exhibits and hands-on learning for all ages.
Kazoo Factory Museum,Factory Tour,"Beaufort, SC",ongoing,"12 John Galt Road, Beaufort, SC 29906",,,843-982-6387,https://kazoofactorymuseum.com/,,Kid-friendly factory tour where visitors see how kazoos are made and make one to take home.
Naval Heritage Park,Playground Park,"Port Royal, SC",ongoing,"1600 Ribaut Road, Port Royal, SC 29935",,,843-986-2200,https://www.portroyal.org/251/Naval-Heritage-Park,,Shaded community park with the Spanish Galleon playground skate park trail and picnic spots.
Henry C. Chambers Waterfront Park Playground,Playground Park,"Beaufort, SC",ongoing,"103 Charles Street, Beaufort, SC 29902",,,,https://www.nps.gov/places/henry-c-chambers-waterfront-park.htm,,Downtown waterfront playground with climbing features swings open space and river views.
The Sandbox Children's Museum,Children's Museum,"Hilton Head Island, SC",ongoing,"80 Nassau Street, Hilton Head Island, SC 29928",,,843-842-7645,https://thesandbox.org/,,Interactive children's museum focused on hands-on play exhibits programs camps and creative learning.
