Name,Type,Tags,Products,Location,Address,Latitude,Longitude,Phone,Website,Email,Best Season,Secondary Season,Availability,Notes
Port Royal Farmers Market,farmers_market,Farmers Market,"local produce, seafood, meat, cheese, honey, flowers, bread","Port Royal, SC","Naval Heritage Park, 1615 Ribaut Road",32.3833,-80.6956,843-470-0699,https://portroyalfarmersmarket.com,kitbruce1111@gmail.com,May–Oct,Nov–Apr,Wild + frozen,Year-round Saturday farmers market serving Port Royal and Beaufort
Downtown Beaufort Farmers’ Market,farmers_market,Farmers Market,"local produce, prepared foods","Beaufort, SC",North & Bladen Streets,32.4308643,-80.6735035,843-525-7070,https://www.cityofbeaufort.org,,Mar–Nov,Winter greens,"Fresh, seasonal",City-run downtown farmers market with produce and food trucks
Farmers’ Market of Bluffton,farmers_market,Farmers Market,"local produce, specialty items, prepared foods, entertainment","Bluffton, SC","Carson Cottages, 40 Calhoun St.",32.240246,-80.859421,843-415-2447,https://farmersmarketbluffton.org,,Mar–Nov,Winter greens,"Fresh, seasonal",Thursday afternoon market with local farms and artisans
Lowcountry Produce & Market Cafe,prepared_food_market,Prepared Food Market,"produce, canned goods, cafe, prepared foods","Lobeco, SC",1919 Trask Pkwy.,32.5384,-80.7026,843-846-9438,https://lowcountryproduce.com,,Mar–Nov,Winter greens,"Fresh, seasonal",Produce market and cafe with canned goods and gifts
Cahill’s Market & Chicken Kitchen,farm_market_kitchen,Farm Market Kitchen,"produce, prepared foods, restaurant","Bluffton, SC",1055 May River Rd.,32.240246,-80.859421,843-757-2921,https://cahillsmarket.com,,Mar–Nov,Winter greens,"Fresh, seasonal",Farm market and restaurant featuring local produce and fried chicken
The Kitchen,prepared_food_market,Prepared Food Market,"prepared foods, cafe, bakery, catering, gifts","Lady's Island, SC","136 Sea Island Parkway Suite 5, Beaufort, SC 29907",,,843-379-3303,https://www.thebeaufortkitchen.com/,contact@beaufortkitchen.com,Year-round,,"Fresh, seasonal",Lady's Island gourmet-to-go market and cafe with grab-and-go meals baked goods coffee catering and pantry-style extras.
Herban Market & Cafe,prepared_food_market,Prepared Food Market,"local produce, cafe, bakery, bread, prepared foods","Beaufort, SC","1601 North Street, Beaufort, SC 29902",,,843-379-5060,https://www.herbanmarketandcafe.com/,,Year-round,,"Fresh, seasonal",Scratch-made cafe and market focused on fresh food breads pastries and natural local products in Beaufort.
Lowcountry Fresh Market & Cafe,prepared_food_market,Prepared Food Market,"local produce, seafood, meat, cheese, honey, bread, prepared foods, cafe","Bluffton, SC","303 Bleecker Street, Bluffton, SC 29910",,,843-815-2780,https://www.lowcountryfresh.com/,hello@lowcountryfresh.com,Year-round,,"Fresh, seasonal",Bluffton market cafe and bakery focused on local farmers with groceries prepared foods catering and brunch.
Lowcountry Produce Market & Cafe - Beaufort,prepared_food_market,Prepared Food Market,"local produce, bakery, prepared foods, cafe, canned goods, gifts","Beaufort, SC","302 Carteret Street, Beaufort, SC 29902",,,843-322-1900,https://www.lowcountryproduce.com/,,Year-round,,"Fresh, seasonal",Downtown Beaufort market and cafe known for breakfast lunch baked goods pantry items and prepared foods.
Lowcountry Produce Market & Cafe - Sea Pines,prepared_food_market,Prepared Food Market,"local produce, bakery, prepared foods, cafe, canned goods","Hilton Head Island, SC","71-510 Lighthouse Road, Hilton Head Island, SC 29928",,,843-686-3003,https://www.lowcountryproduce.com/,,Year-round,,"Fresh, seasonal",Sea Pines market and cafe offering breakfast lunch bakery items local goods and prepared foods.
